"city","establishmentname","address","type","lat","lon"
"100 MILE HOUSE","100 MILE HOUSE GLS 221","2 - 575A ALDER AVE","BC Liquor Store",51.638729,-121.297073
"100 MILE HOUSE","LAKEWOOD INN","365 S CARIBOO HWY","Private Liquor Store",51.5968122,-121.3055975
"100 MILE HOUSE","","2 ? 95A CARIBOO HIGHWAY 97","Proposed Store Location",51.5968122,-121.3055975
"ABBOTSFORD","ABBOTSFORD GLS 149","40 - 32500 SOUTH FRASER WAY","BC Liquor Store",49.0505838,-122.3247049
"ABBOTSFORD","ABBOTSFORD LIQUOR BARN","2520 MONTVUE AVE","Private Liquor Store",49.047722,-122.288548
"ABBOTSFORD","ABBOTSFORD VILLAGE GLS 189","117 - 2070 SUMAS WAY ","BC Liquor Store",49.039593,-122.27036
"ABBOTSFORD","CHARACTER'S LIQUOR STORE","2509 PAULINE ST","Private Liquor Store",49.0474938,-122.2920762
"ABBOTSFORD","CLEARBROOK LIQUOR BARN","30  31940 SOUTH FRASER WAY","Private Liquor Store",49.047955,-122.3389519
"ABBOTSFORD","FRASER VALLEY INN","33790 ESSENDENE AVE","Private Liquor Store",49.048675,-122.289224
"ABBOTSFORD","HIGHWAYMAN PUB","32470 SIMON AVE","Private Liquor Store",49.052727,-122.324642
"ABBOTSFORD","MT. LEHMAN LIQUOR STORE ","M115- 3122 MT. LEHMAN RD","Private Liquor Store",49.0582156,-122.3785136
"ABBOTSFORD","WHATCOM WINE & SPIRITS","100 - 1900 NORTH PARALLEL ROAD","Private Liquor Store",49.0362168,-122.2312565
"ABBOTSFORD","","1 - 34252 MARSHALL ROAD","Proposed Store Location",49.0381135,-122.2753601
"ABBOTSFORD","","104 1520 MCCALLUM ROAD","Proposed Store Location",49.0306952,-122.2926722
"ABBOTSFORD","","105 - 2596 MCMILLAN ROAD","Proposed Store Location",49.0490435,-122.2597924
"ABBOTSFORD","","135-2362 WHATCOM ROAD","Proposed Store Location",49.0451272,-122.2226046
"ABBOTSFORD","","150-3033 IMMEL STREET","Proposed Store Location",49.0571498,-122.2733903
"ABBOTSFORD","","28060 FRASER HIGHWAY","Proposed Store Location",49.057337,-122.4470801
"ABBOTSFORD","","32131 MARSHALL ROAD","Proposed Store Location",49.038502,-122.333877
"ABBOTSFORD","","ADJ. 3342 TOWNLINE RD. (CIVIC ADDRESS TBD)","Proposed Store Location",49.054587,-122.328026
"ABBOTSFORD","","UNIT 1 - 2785 BOURQUIN CRESCENT WEST","Proposed Store Location",49.05265,-122.3109119
"ABBOTSFORD","","UNIT C - 31192 SOUTH FRASER WAY","Proposed Store Location",49.047804,-122.360552
"AGASSIZ","AGASSIZ GLS 064","7250 PIONEER AVENUE","BC Liquor Store",49.2384436,-121.7596551
"AGASSIZ","AGASSIZ LIQUOR STORE","1810 #9 HIGHWAY","Private Liquor Store",49.2369828,-121.7613521
"AGASSIZ","HOT SPRINGS LIQUOR STORE","2406 HOT SPRINGS RD","Private Liquor Store",49.247665,-121.78246
"ALDERGROVE","ALDER INN HOTEL","27214 FRASER HWY","Private Liquor Store",49.0580139,-122.4705519
"ALDERGROVE","ALDERGROVE GLS 109","200 - 26310 FRASER HWY","BC Liquor Store",49.0586533,-122.4941776
"ALDERGROVE","ALDERGROVE LIQUOR STORE","26444 32 AVENUE","Private Liquor Store",49.060218,-122.4911732
"ALERT BAY","ABC LIQUOR STORE (ALERT BAY)","287 - 291 FIR STREET","Private Liquor Store",50.5771663,-126.9147105
"ALERT BAY","ALERT BAY GLS 225","21 MAPLE STREET","BC Liquor Store",50.5837782,-126.92707
"ALERT BAY","PARTYTIME LIQUOR STORES (ALERT BAY)","81 FIR STREET","Private Liquor Store",50.585,-126.9288517
"ARMSTRONG","ARMSTRONG GLS 215","3495 SMITH DRIVE","BC Liquor Store",50.4485979,-119.184909
"ARMSTRONG","ARMSTRONG INN","3400 SMITH DR","Private Liquor Store",50.447877,-119.183581
"ARMSTRONG","OLD RANCH LIQUOR STORE ","2570 PLEASANT VALLEY ROAD","Private Liquor Store",50.439625,-119.204939
"ASHCROFT","ASHCROFT GLS 002","301 3RD STREET","BC Liquor Store",50.7241981,-121.2816438
"BARRIERE","BARRIERE GLS 138","4639 BARRIERE TOWN ROAD","BC Liquor Store",51.1844408,-120.123457
"BARRIERE","BARRIERE MOTOR INN","4347 YELLOWHEAD HWY","Private Liquor Store",51.1666041,-120.1255439
"BELLA COOLA","BELLA COOLA GLS 232","624 CLIFF STREET","BC Liquor Store",52.3721277,-126.7539346
"BOSTON BAR","CHARLES HOTEL ","48115 TRANS CANADA HWY","Private Liquor Store",49.8576873,-121.437717
"BOWEN ISLAND","BOWEN ISLAND BEER & WINE STORE","102 - 996 DORMAN ROAD","Private Liquor Store",49.3794438,-123.3379901
"BRENTWOOD BAY","TRAFALGAR SQUARE GLS 059","8 - 7103 W SAANICH RD","BC Liquor Store",48.575227,-123.444006
"BRENTWOOD BAY","","7180 WEST SAANICH ROAD","Proposed Store Location",48.5777419,-123.4490381
"BURNABY","BAINBRIDGE LIQUOR STORE","5  7000 LOUGHEED HIGHWAY","Private Liquor Store",49.257717,-122.958181
"BURNABY","BOTTLE JOCKEY","109 - 1899 ROSSER AVE","Private Liquor Store",49.2670004,-123.0062584
"BURNABY","BYRNE ROAD GLS 193","7509 MARKET CROSSING","BC Liquor Store",49.1988118,-122.9806213
"BURNABY","GREAT BEAR PUB & LIQUOR STORE ","5665 KINGSWAY","Private Liquor Store",49.2227533,-122.9810295
"BURNABY","HIGHGATE VILLAGE GLS 220","235 - 7155 KINGSWAY AVE","BC Liquor Store",49.2188895,-122.9567659
"BURNABY","HOP & VINE NEIGHBOURHOOD PUB & BEER STORE","9 1601 BURNWOOD DR","Private Liquor Store",49.269908,-122.945979
"BURNABY","KENSINGTON GLS 137","6512 HASTINGS STREET","BC Liquor Store",49.2802742,-122.9694104
"BURNABY","KINGS LIQUOR STORE","5820 MARINE DR","Private Liquor Store",49.2055099,-122.979689
"BURNABY","LIQUOR BARN","4125 HASTINGS ST","Private Liquor Store",49.2810725,-123.0135333
"BURNABY","NORTH BURNABY GLS 217","4450 E HASTINGS ST","BC Liquor Store",49.2810089,-123.0041201
"BURNABY","NORTHGATE GLS 077","UNIT 103 - 3433 NORTH RD.","BC Liquor Store",49.2525898,-122.8936056
"BURNABY","OLIVER TWIST PUB","7557 EDMONDS ST","Private Liquor Store",49.2226222,-122.9441404
"BURNABY","SOUTH BURNABY GLS 203","16 - 4429 KINGSWAY AVE","BC Liquor Store",49.2314238,-123.0051222
"BURNABY","WEST COAST LIQUOR COMPANY","7651 ROYAL OAK AVENUE","Private Liquor Store",49.213903,-122.9889885
"BURNABY","","14&15 8982 AND 8992 UNIVERSITY HIGH STREET","Proposed Store Location",49.277892,-122.9098954
"BURNS LAKE","BURNS LAKE GLS 073","8 - 117 HIGHWAY 35","BC Liquor Store",54.2243725,-125.7599625
"BURNS LAKE","GRAPEVINE LIQUOR STORE","156 FRANCOIS LAKE DRIVE","Private Liquor Store",54.2249348,-125.7625819
"BURNS LAKE","MULVANEY'S PUB","164 HWY 16","Private Liquor Store",54.2252294,-125.7552902
"CACHE CREEK","CACHE CREEK GLS 060","1360 HWY 97 N","BC Liquor Store",50.8100033,-121.3235677
"CACHE CREEK","OASIS HOTEL (CACHE CREEK)","1064 S TRANS CANADA HWY","Private Liquor Store",50.8065471,-121.3254361
"CAMPBELL RIVER","BEST BUY LIQUOR STORE","20 - 1270 DOGWOOD ST","Private Liquor Store",50.0272697,-125.2515401
"CAMPBELL RIVER","CAMPBELL RIVER GLS 005","270 - 1400 DOGWOOD ST.","BC Liquor Store",50.0289991,-125.249423
"CAMPBELL RIVER","CAMPBELL RIVER LODGE","1760 ISLAND HWY","Private Liquor Store",50.0325677,-125.2678254
"CAMPBELL RIVER","DISCOVERY INN","975 SHOPPERS ROW","Private Liquor Store",50.026057,-125.242565
"CAMPBELL RIVER","HAIDA INN LRS","1342 SHOPPERS ROW","Private Liquor Store",50.028422,-125.245985
"CAMPBELL RIVER","MERECROFT VILLAGE LIQUOR STORE","A7 465 MERECROFT ROAD","Private Liquor Store",49.9995068,-125.2454284
"CAMPBELL RIVER","METRO LIQUOR, DISCOVERY HARBOUR","1328 ISLAND HIGHWAY","Private Liquor Store",50.0323674,-125.2472724
"CAMPBELL RIVER","METRO LIQUOR, TIMBERLINE VILLAGE","UNIT 203 - 205 801 HILCHEY ROAD","Private Liquor Store",49.9730744,-125.2244947
"CAMPBELL RIVER","OYSTER RIVER LICENSED LIQUOR STORE","2207B GLENMORE RD","Private Liquor Store",49.8698119,-125.1287073
"CAMPBELL RIVER","QUINSAM LIQUOR STORE","145 BRANT DR","Private Liquor Store",50.0150469,-125.2854459
"CAMPBELL RIVER","ROYAL COACHMAN INN","84 DOGWOOD ST","Private Liquor Store",50.009186,-125.24808
"CAMPBELL RIVER","STRATHCONA PARK LODGE LICENSED LIQUOR STORE","45 KM W OF CAMPBELL RIVER","Private Liquor Store",50.0331226,-125.2733354
"CAMPBELL RIVER","THE LIQUOR STORE AT THE VILLAGE","2253 ISLAND HWY S","Private Liquor Store",49.9707448,-125.2153747
"CAMPBELL RIVER","WILLOW POINT GLS 185","11 2116 ISLAND HWY S","BC Liquor Store",49.9719792,-125.2179959
"CAMPBELL RIVER","","1054 SOUTH ISLAND HIGHWAY","Proposed Store Location",49.988405,-125.2262427
"CAMPBELL RIVER","","3930 ISLAND HIGHWAY NORTH","Proposed Store Location",50.0579476,-125.2742982
"CANAL FLATS","COLUMBIA BEER & WINE","8893 GRANGER ROAD","Private Liquor Store",50.1583611,-115.8075484
"CASTLEGAR","BANJO'S LIQUOR STORE","1810  8TH AVE","Private Liquor Store",49.2996817,-117.6580656
"CASTLEGAR","CARTWRIGHT'S LIQUOR STORE","1434 COLUMBIA AVE","Private Liquor Store",49.308205,-117.6595992
"CASTLEGAR","CASTLEGAR - SUPER 8","651 18TH ST","Private Liquor Store",49.300592,-117.65602
"CASTLEGAR","CASTLEGAR GLS 078","UNIT G - 635 COLUMBIA AVENUE","BC Liquor Store",49.3216139,-117.664892
"CASTLEGAR","CASTLEROCK LIQUOR STORE","1101  4TH ST","Private Liquor Store",49.3257369,-117.664949
"CASTLEGAR","UPTOWN LIQUOR STORE","1965 COLUMBIA AVE","Private Liquor Store",49.2965674,-117.6536499
"CENTRAL SAANICH","KEATING LIQUOR EXPRESS","2134 KEATING CROSS ROAD","Private Liquor Store",48.5651572,-123.4117613
"CENTRAL SAANICH","METRO LIQUOR, BRENTWOOD BAY","100 - 7143 WEST SAANICH ROAD","Private Liquor Store",48.5766438,-123.4472692
"CHASE","CHASE GLS 226","119 CHASE ST","BC Liquor Store",50.820489,-119.688537
"CHASE","FOX LIQUOR STORE","4 - 451 BROOK STREET","Private Liquor Store",49.065592,-122.3289271
"CHASE","UNDERWOOD LIQUOR STORE COLD BEER & WINE","718 SHUSWAP AVENUE","Private Liquor Store",50.819697,-119.689518
"CHEMAINUS","CHEMAINUS GLS 206","2592 LEGION ST","BC Liquor Store",48.922277,-123.718463
"CHEMAINUS","GREEN LANTERN COLD BEER AND WINE","9644 CHEMAINUS RD.","Private Liquor Store",48.918109,-123.715373
"CHEMAINUS","HORSESHOE BAY INN","9576 CHEMAINUS ROAD","Private Liquor Store",48.914389,-123.712821
"CHEMAINUS","VILLAGE LIQUOR STORE","3055 OAK STREET","Private Liquor Store",48.925403,-123.7255102
"CHETWYND","CHETWYND GLS 238","49TH AVE W","BC Liquor Store",55.7000305,-121.6314679
"CHETWYND","MURRAY'S LIQUOR EXPRESS","4905 SOUTH ACCESS ROAD","Private Liquor Store",55.6973632,-121.629335
"CHILLIWACK","BEST WESTERN RAINBOW COUNTRY INN","43971A INDUSTRIAL WAY","Private Liquor Store",49.1462683,-122.0080036
"CHILLIWACK","CHARACTER'S LIQUOR STORE","8559 YOUNG RD","Private Liquor Store",49.15816,-121.953353
"CHILLIWACK","CHILIWACK BCLS 07","46040 YALE ROAD","BC Liquor Store",49.1709368,-121.9525531
"CHILLIWACK","CHILLIWACK GLS 007","SALISH PLAZA","BC Liquor Store",49.126592,-121.9488455
"CHILLIWACK","CORKY'S LIQUOR BIN","45844 YALE ROAD","Private Liquor Store",49.1709368,-121.9525531
"CHILLIWACK","EAGLE LANDING LIQUOR STORE","UNIT F, 418 - 8249 EAGLE LANDING PARKWAY","Private Liquor Store",49.1518816,-121.9792738
"CHILLIWACK","FRIENDLY MIKE'S PUB","8247 YOUNG ROAD","Private Liquor Store",49.152308,-121.95276
"CHILLIWACK","GARRISON WINE & LIQUOR MERCHANTS","5 - 45555 MARKET WAY","Private Liquor Store",49.104762,-121.9634138
"CHILLIWACK","JOLLY MILLER PUB","5865 VEDDER RD","Private Liquor Store",49.1089835,-121.9590237
"CHILLIWACK","LIQUOR DEPOT (CHILLIWACK)","10 45850 YALE ROAD","Private Liquor Store",49.165885,-121.9571849
"CHILLIWACK","LIQUOR STORE SARDIS","1000 - 45610 LUCKAKUCK RD ","Private Liquor Store",49.1395692,-121.9622584
"CHILLIWACK","LITTLE MOUNTAIN LIQUOR STORE","1 - 9701 MENZIES STREET","Private Liquor Store",49.1787916,-121.9342534
"CHILLIWACK","PLAZA LIQUOR STORE ","46298 YALE ROAD","Private Liquor Store",49.1732462,-121.9457976
"CHILLIWACK","PROMONTORY LIQUOR STORE","201 - 5615 TESKEY WAY","Private Liquor Store",49.104307,-121.933674
"CHILLIWACK","SARDIS GLS 170","UNIT A - 7544 VEDDER RD","BC Liquor Store",49.1388107,-121.9585459
"CHILLIWACK","","100B/110B - 6640 VEDDER ROAD","Proposed Store Location",49.1244646,-121.9591408
"CHILLIWACK","","43971 A INDUSTRIAL WAY","Proposed Store Location",49.1462683,-122.0080036
"CHRISTINA LAKE","PARTYTIME LIQUOR STORE (CHRISTINA LAKE)","1770 HWY  3","Private Liquor Store",49.0551249,-118.2131795
"CLEARWATER","CLEARWATER GLS 088","1-74 YOUNG ST","BC Liquor Store",51.644788,-120.072352
"CLEARWATER","WELLS GRAY INN","228 EAST YELLOWHEAD HIIGHWAY","Private Liquor Store",51.6472524,-120.049834
"CLINTON","CARIBOO LODGE LIQUOR STORE","1414 CARIBOO HIGHWAY","Private Liquor Store",51.091585,-121.5873723
"CLINTON","CLINTON GLS 201","1421 CARIBOO HWY","BC Liquor Store",51.0919649,-121.5861773
"CLINTON","PARTYTIME LIQUOR STORES (CLINTON)","1613 HIGHWAY 97","Private Liquor Store",51.0917026,-121.5871094
"COBBLE HILL","COBBLE HILL LIQUOR PLUS","49 - 1400 COWICHAN BAY RD","Private Liquor Store",48.7106223,-123.6078939
"COBBLE HILL","COBBLESTONE INN LRS","3566 HOLLAND AVENUE","Private Liquor Store",48.6889886,-123.6025227
"COLDSTREAM","ALEXANDER'S PUB LIQUOR STORE","12408 KALAMALKA ROAD","Private Liquor Store",50.2301123,-119.2627019
"COLWOOD","COLWOOD PRIVATE LIQUOR STORE","107  2244 SOOKE ROAD","Private Liquor Store",48.434772,-123.4933814
"COLWOOD","FOUR MILE LIQUOR STORE","310 GOLDSTREAM AVENUE","Private Liquor Store",48.4423339,-123.4701984
"COLWOOD","","1913 SOOKE ROAD","Proposed Store Location",48.4413067,-123.4703425
"COMOX","COMOX GLS 235","204 PORT AUGUSTA STREET","BC Liquor Store",49.672398,-124.9261003
"COMOX","LEEWARD INN","649 ANDERTON RD","Private Liquor Store",49.6864777,-124.935241
"COMOX","LIQUOR EXPRESS","3080 COMOX ROAD","Private Liquor Store",49.6792144,-124.9662547
"COMOX","THE GRIFFIN LIQUOR STORE","1496 RYAN ROAD","Private Liquor Store",49.7150134,-124.9097598
"COOMBS","FRONTIERSMAN LIQUOR STORE","2484 ALBERNI HWY","Private Liquor Store",49.3030842,-124.4350738
"COQUITLAM","AUSTIN STATION LIQUOR STORE","UNIT #11 - 2662 AUSTIN AVE","Private Liquor Store",49.2488003,-122.8170274
"COQUITLAM","BOONE LIQUOR STORE","140 SCHOOLHOUSE STREET","Private Liquor Store",49.2344618,-122.8529452
"COQUITLAM","COMO LAKE GLS 153","1972 COMO LAKE RD","BC Liquor Store",49.2633401,-122.8382443
"COQUITLAM","COQUITLAM INN AND CONVENTION CENTRE","319 NORTH RD","Private Liquor Store",49.2432258,-122.8922036
"COQUITLAM","EXECUTIVE PLAZA COQUITLAM","405 NORTH RD","Private Liquor Store",49.24657,-122.891501
"COQUITLAM","FROG AND NIGHTGOWN","1125 FALCON DR","Private Liquor Store",49.279591,-122.817776
"COQUITLAM","JOHN B. PUB","1000 AUSTIN AVE","Private Liquor Store",49.24872,-122.867276
"COQUITLAM","JOHNSON STREET LIQUOR STORE","390 - 1175 JOHNSON ST","Private Liquor Store",49.282349,-122.801469
"COQUITLAM","LIQUOR DEPOT AT COQUITLAM","25, D  2773 BARNET HIGHWAY","Private Liquor Store",49.2782473,-122.8066523
"COQUITLAM","MICKY'S LIQUOR STORE","170 GOLDEN DRIVE","Private Liquor Store",49.23294,-122.820324
"COQUITLAM","RHINO'S","541 CLARKE RD","Private Liquor Store",49.2613521,-122.8908432
"COQUITLAM","ROOS COLD BEER, WINE & LIQUOR STORE","940  3025 LOUGHEED HWY","Private Liquor Store",49.2766317,-122.7919829
"COQUITLAM","WOODY'S ON BRUNETTE","935 BRUNETTE ST","Private Liquor Store",49.2372082,-122.8702697
"COQUITLAM","","100 - 580 CLARKE ROAD","Proposed Store Location",49.2623265,-122.8872632
"COQUITLAM","","F02/F03 1410 PARKWAY BOULEVARD","Proposed Store Location",49.2959366,-122.8034444
"COURTENAY","BEST WESTERN WESTERLY HOTEL","1590 CLIFFE AVE","Private Liquor Store",49.685466,-124.990722
"COURTENAY","CASCADIA CROWN ISLE.","101 - 444 LERWICK RD","Private Liquor Store",49.7095728,-124.964632
"COURTENAY","COURTENAY GLS 010","1095 CLIFFE AVE","BC Liquor Store",49.687899,-124.995275
"COURTENAY","COURTENAY LIQUOR PLUS","2751 CLIFFE AVENUE","Private Liquor Store",49.6734186,-124.983929
"COURTENAY","MEX PUB","1001 RYAN ROAD","Private Liquor Store",49.698366,-124.984964
"COURTENAY","MT. WASHINGTON HOSTEL","275 8TH ST","Private Liquor Store",49.689357,-124.997034
"COURTENAY","WHISTLE STOP","2355 MANSFIELD DR","Private Liquor Store",49.6777954,-124.9811791
"CRANBROOK","BYNG HOTEL","21 CRANBROOK STREET NORTH","Private Liquor Store",49.512841,-115.768138
"CRANBROOK","CRANBROOK GLS 009","100 - 425 VICTORIA AVE N","BC Liquor Store",49.5158758,-115.7539379
"CRANBROOK","DAYS INN - CRANBROOK","600 CRANBROOK ST   N","Private Liquor Store",49.518203,-115.760408
"CRANBROOK","GREAT CANADIAN LIQUOR WAREHOUSE","2100 E/F WILLOWBROOK DRIVE","Private Liquor Store",49.5307409,-115.7496294
"CRANBROOK","KING EDWARD HOTEL (CRANBROOK)","22 - 7TH AVE SOUTH","Private Liquor Store",49.511235,-115.771241
"CRESTON","CRESTON HOTEL","1418 CANYON ST","Private Liquor Store",49.0955536,-116.5084313
"CRESTON","CRESTON VALLEY MALL GLS 075","2 - 1000 NW BLVD MALL","BC Liquor Store",49.0643979,-116.5153469
"CRESTON","KOKANEE INN LIQUOR STORE","123-9TH AVENUE S.","Private Liquor Store",49.094511,-116.514895
"CROFTON","CROFTON HOTEL","1534 JOAN AVE","Private Liquor Store",48.864403,-123.641461
"CULTUS LAKE","CULTUS LAKE PUB","3696 COLUMBIA VALLEY HWY","Private Liquor Store",49.0696247,-121.9625489
"CUMBERLAND","CUMBERLAND GLS 008","2700 DUNSMUIR AVE","BC Liquor Store",49.6188581,-125.0303203
"CUMBERLAND","DWAIN'S LIQUOR STORE","2692 DUNSMUIR AVE","Private Liquor Store",49.6187933,-125.0310074
"DAWSON CREEK","BEAR MOUNTAIN LIQUOR","12121 8TH ST","Private Liquor Store",55.737916,-120.2254021
"DAWSON CREEK","DAWSON CREEK GLS 212","1020 ALASKA AVE","BC Liquor Store",55.759838,-120.22844
"DAWSON CREEK","GEORGE DAWSON LIQUOR STORE","11705 8TH STREET","Private Liquor Store",55.743473,-120.225534
"DAWSON CREEK","SILVERADO INN","10100 10TH ST","Private Liquor Store",55.75902,-120.227489
"DELTA","BIG PETE'S LIQUOR STORE","8473 120TH STREET","Private Liquor Store",49.157082,-122.890451
"DELTA","KENNEDY'S LIQUOR, BEER & WINE STORE","8899 120TH STREET","Private Liquor Store",49.1651575,-122.8904388
"DELTA","LANDING PUB & GRILL","5449 48TH AVE","Private Liquor Store",49.0902392,-123.0720063
"DELTA","LIQUOR QUICKER","E - 1215  56TH ST","Private Liquor Store",49.0263045,-123.0687539
"DELTA","NORTH DELTA INN","11920 70TH AVE","Private Liquor Store",49.129993,-122.892428
"DELTA","ONE 20 LICENSED LIQUOR STORE","8037 120TH ST","Private Liquor Store",49.1486962,-122.8904524
"DELTA","SCOTT 72 LIQUOR STORE","7229  120TH ST","Private Liquor Store",49.1346786,-122.8904365
"DELTA","SCOTTSDALE GLS 145","7017 120TH ST","BC Liquor Store",49.132443,-122.892088
"DELTA","SPEED'S LIQUOR STORE","UNIT 114 - 4857 ELLIOTT STREET","Private Liquor Store",49.0914835,-123.0837316
"DELTA","SUNDANCE INN","6574 LADNER TRUNK RD","Private Liquor Store",49.089348,-123.041458
"DELTA","SUNSHINE HILLS LIQUOR STORE","6439  120TH ST","Private Liquor Store",49.1229232,-122.8904755
"DELTA","TIDEWATERS LIQUOR STORE","10190 RIVER ROAD","Private Liquor Store",49.156241,-122.940719
"DELTA","TSAWWASSEN GLS 098","1319 H 56TH ST","BC Liquor Store",49.0274544,-123.06875
"DELTA","","120 - 8380 112TH STREET","Proposed Store Location",49.1556657,-122.9119729
"DEWDNEY","HISTORIC DEWDNEY PUB","8793 RIVER ROAD SOUTH","Private Liquor Store",49.1614349,-122.195973
"DUNCAN","BEVERLY CORNERS LIQUOR STORE","2755 BEVERLY STREET","Private Liquor Store",48.7859759,-123.7076879
"DUNCAN","COMMONS LIQUOR & MORE","2900 DRINKWATER ROAD","Private Liquor Store",48.8025693,-123.7175113
"DUNCAN","COWICHAN LIQUOR STORE","4485 TRANS CANADA HIGHWAY","Private Liquor Store",48.7198818,-123.6280959
"DUNCAN","DUNCAN GLS 012","1-180 CENTRAL ROAD","BC Liquor Store",48.7752728,-123.7016488
"DUNCAN","DUNCAN LIQUOR BARN","3287 COWICHAN LAKE RD","Private Liquor Store",48.791468,-123.735593
"DUNCAN","DUNCAN LIQUOR PLUS","127 TRANS CANADA HWY","Private Liquor Store",48.7734934,-123.6989242
"DUNCAN","RIVER ROCK LIQUOR STORE","140 TRANS CANADA HWY","Private Liquor Store",48.7743444,-123.6981305
